Statistic Label,Year,County and State,Sex,UNIT,VALUE
Average age of population,2021,Carlow,Both sexes,Age Mean,37.49636486
Average age of population,2021,Cavan,Both sexes,Age Mean,37.29843729
Average age of population,2021,Clare,Both sexes,Age Mean,39.07251858
Average age of population,2021,Cork,Both sexes,Age Mean,38.456119185
Average age of population,2021,Donegal,Both sexes,Age Mean,38.87593139
Average age of population,2021,Dublin,Both sexes,Age Mean,37.634908725
Average age of population,2021,Galway,Both sexes,Age Mean,38.215892655000005
Average age of population,2021,Kerry,Both sexes,Age Mean,40.05312789
Average age of population,2021,Kildare,Both sexes,Age Mean,36.25074688
Average age of population,2021,Kilkenny,Both sexes,Age Mean,38.52857115
Average age of population,2021,Laois,Both sexes,Age Mean,36.50849982
Average age of population,2021,Leitrim,Both sexes,Age Mean,39.69290826
Average age of population,2021,Limerick,Both sexes,Age Mean,38.38691373
Average age of population,2021,Longford,Both sexes,Age Mean,37.54792828
Average age of population,2021,Louth,Both sexes,Age Mean,37.40160088
Average age of population,2021,Mayo,Both sexes,Age Mean,39.97997655
Average age of population,2021,Meath,Both sexes,Age Mean,36.27286449
Average age of population,2021,Monaghan,Both sexes,Age Mean,37.55642931
Average age of population,2021,Offaly,Both sexes,Age Mean,37.69194075
Average age of population,2021,Roscommon,Both sexes,Age Mean,39.27798202
Average age of population,2021,Sligo,Both sexes,Age Mean,39.84998648
Average age of population,2021,State,Both sexes,Age Mean,38.01160377
Average age of population,2021,Tipperary,Both sexes,Age Mean,38.84027028
Average age of population,2021,Waterford,Both sexes,Age Mean,38.77097525
Average age of population,2021,Westmeath,Both sexes,Age Mean,37.43799144
Average age of population,2021,Wexford,Both sexes,Age Mean,38.72400048
Average age of population,2021,Wicklow,Both sexes,Age Mean,38.2286436
Average age of population,2022,Carlow,Both sexes,Age Mean,37.8
Average age of population,2022,Cavan,Both sexes,Age Mean,37.3
Average age of population,2022,Clare,Both sexes,Age Mean,39.1
Average age of population,2022,Cork,Both sexes,Age Mean,38.75
Average age of population,2022,Donegal,Both sexes,Age Mean,39.0
Average age of population,2022,Dublin,Both sexes,Age Mean,38.05
Average age of population,2022,Galway,Both sexes,Age Mean,38.45
Average age of population,2022,Kerry,Both sexes,Age Mean,40.1
Average age of population,2022,Kildare,Both sexes,Age Mean,36.5
Average age of population,2022,Kilkenny,Both sexes,Age Mean,38.4
Average age of population,2022,Laois,Both sexes,Age Mean,36.4
Average age of population,2022,Leitrim,Both sexes,Age Mean,39.5
Average age of population,2022,Limerick,Both sexes,Age Mean,38.5
Average age of population,2022,Longford,Both sexes,Age Mean,37.5
Average age of population,2022,Louth,Both sexes,Age Mean,37.5
Average age of population,2022,Mayo,Both sexes,Age Mean,40.1
Average age of population,2022,Meath,Both sexes,Age Mean,36.3
Average age of population,2022,Monaghan,Both sexes,Age Mean,37.8
Average age of population,2022,Offaly,Both sexes,Age Mean,37.9
Average age of population,2022,Roscommon,Both sexes,Age Mean,39.4
Average age of population,2022,Sligo,Both sexes,Age Mean,40.0
Average age of population,2022,State,Both sexes,Age Mean,38.3
Average age of population,2022,Tipperary,Both sexes,Age Mean,39.1
Average age of population,2022,Waterford,Both sexes,Age Mean,38.8
Average age of population,2022,Westmeath,Both sexes,Age Mean,37.7
Average age of population,2022,Wexford,Both sexes,Age Mean,38.9
Average age of population,2022,Wicklow,Both sexes,Age Mean,38.4
Average age of population,2023,Carlow,Both sexes,Age Mean,38.4
Average age of population,2023,Cavan,Both sexes,Age Mean,37.9
Average age of population,2023,Clare,Both sexes,Age Mean,39.5
Average age of population,2023,Cork,Both sexes,Age Mean,38.95
Average age of population,2023,Donegal,Both sexes,Age Mean,39.4
Average age of population,2023,Dublin,Both sexes,Age Mean,38.125
Average age of population,2023,Galway,Both sexes,Age Mean,38.4
Average age of population,2023,Kerry,Both sexes,Age Mean,40.5
Average age of population,2023,Kildare,Both sexes,Age Mean,36.9
Average age of population,2023,Kilkenny,Both sexes,Age Mean,39.0
Average age of population,2023,Laois,Both sexes,Age Mean,37.0
Average age of population,2023,Leitrim,Both sexes,Age Mean,40.0
Average age of population,2023,Limerick,Both sexes,Age Mean,38.9
Average age of population,2023,Longford,Both sexes,Age Mean,38.1
Average age of population,2023,Louth,Both sexes,Age Mean,37.9
Average age of population,2023,Mayo,Both sexes,Age Mean,40.5
Average age of population,2023,Meath,Both sexes,Age Mean,36.8
Average age of population,2023,Monaghan,Both sexes,Age Mean,38.3
Average age of population,2023,Offaly,Both sexes,Age Mean,38.4
Average age of population,2023,Roscommon,Both sexes,Age Mean,39.9
Average age of population,2023,Sligo,Both sexes,Age Mean,40.1
Average age of population,2023,State,Both sexes,Age Mean,38.5
Average age of population,2023,Tipperary,Both sexes,Age Mean,39.5
Average age of population,2023,Waterford,Both sexes,Age Mean,39.3
Average age of population,2023,Westmeath,Both sexes,Age Mean,38.0
Average age of population,2023,Wexford,Both sexes,Age Mean,39.4
Average age of population,2023,Wicklow,Both sexes,Age Mean,38.9
