"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Ireland","Thousand","5458.6"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Clare","Thousand","136.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Cork","Thousand","612.9"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Cavan","Thousand","84.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Carlow","Thousand","65.6"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Donegal","Thousand","180.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Dublin","Thousand","1568"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Galway","Thousand","292.7"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Kildare","Thousand","253.6"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Kilkenny","Thousand","113.1"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Kerry","Thousand","170.7"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Longford","Thousand","46.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Louth","Thousand","144.6"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Limerick","Thousand","220.1"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Leitrim","Thousand","36.6"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Laois","Thousand","95.9"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Meath","Thousand","225.1"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Monaghan","Thousand","68.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Mayo","Thousand","151.8"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Offaly","Thousand","89.5"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Roscommon","Thousand","75.2"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Sligo","Thousand","72.8"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Tipperary","Thousand","182.9"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Waterford","Thousand","134.1"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Wicklow","Thousand","163.3"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Westmeath","Thousand","100.7"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Wexford","Thousand","173.6"
