Statistic Label,Month,Driving Test Categories,Driving Test Centre,UNIT,Pass Rate,Number of Tests
Driving Test Pass Rate,2021 January,Category B (Car or light van),All driving test centres,%,56.1,12102.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Athlone, Co. Westmeath",%,68.4,117.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Ballina, Co. Mayo",%,56.5,206.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Birr, Co. Offaly",%,37.8,59.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Birr (County Arms Hotel), Co. Offaly",%,NaN,NaN
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Buncrana, Co. Donegal",%,66.1,75.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carlow, Co. Carlow",%,57.2,210.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carlow Talbot Hotel, Co. Carlow",%,NaN,5.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carrick On Shannon, Co. Leitrim",%,76.3,78.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Castlebar, Co. Mayo",%,64.7,100.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cavan, Co. Cavan",%,73.2,176.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Charlestown (Dublin), Co. Dublin",%,NaN,4.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Clifden, Co. Galway",%,62.5,17.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Clonmel, Co. Tipperary",%,48.3,194.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (Ballincollig), Co. Cork",%,NaN,NaN
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (St. Finbarr's GAA Club Togher), Co. Cork",%,NaN,1.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (Wilton), Co. Cork",%,58.0,1024.0
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Donegal, Co. Donegal",%,64.1,70.0
