Statistic Label,Month,Driving Test Categories,Driving Test Centre,UNIT,Pass Rate,Number of Tests
Driving Test Pass Rate,2021 January,Category B (Car or light van),All driving test centres,%,56.1,12102
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Athlone, Co. Westmeath",%,68.4,117
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Ballina, Co. Mayo",%,56.5,206
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Birr, Co. Offaly",%,37.8,59
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Birr (County Arms Hotel), Co. Offaly",%,,
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Buncrana, Co. Donegal",%,66.1,75
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carlow, Co. Carlow",%,57.2,210
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carlow Talbot Hotel, Co. Carlow",%,,5
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Carrick On Shannon, Co. Leitrim",%,76.3,78
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Castlebar, Co. Mayo",%,64.7,100
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cavan, Co. Cavan",%,73.2,176
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Charlestown (Dublin), Co. Dublin",%,,4
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Clifden, Co. Galway",%,62.5,17
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Clonmel, Co. Tipperary",%,48.3,194
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (Ballincollig), Co. Cork",%,,
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (St. Finbarr's GAA Club Togher), Co. Cork",%,,1
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Cork (Wilton), Co. Cork",%,58,1024
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Donegal, Co. Donegal",%,64.1,70
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Drogheda, Co. Louth",%,,7
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Dun Laoghaire / Deansgrange, Co. Dublin",%,49.6,873
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Dundalk, Co. Louth",%,59.1,352
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Dungarvan, Co. Waterford",%,46.3,101
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Ennis, Co. Clare",%,70.9,210
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Finglas, Co. Dublin",%,43,1248
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Galway (Carnmore), Co. Galway",%,59.6,58
Driving Test Pass Rate,2021 January,Category B (Car or light van),"Galway (Westside), Co. Galway",%,64,266
